2026-09-15T11:45:25+00:00	QUEUE_START scope=17models_baseline_only dataset=MultiJail tlang=Swahili n=64
2026-09-15T11:45:25+00:00	FOUND_COMPLETE tag=qwen25_7b_mj_sw
2026-09-15T11:45:25+00:00	DOWNLOAD_START model=meta-llama/Llama-3.1-8B-Instruct attempt=1
2026-09-15T11:45:25+00:00	DOWNLOAD_START model=Qwen/Qwen2.5-3B-Instruct attempt=1
2026-09-15T11:47:32+00:00	DOWNLOAD_COMPLETE model=Qwen/Qwen2.5-3B-Instruct attempt=1
2026-09-15T11:47:32+00:00	RUN_START tag=qwen25_3b_mj_sw model=Qwen/Qwen2.5-3B-Instruct GPUs=0,1 tp=1 tlang=Swahili
2026-09-15T11:48:13+00:00	RUN_COMPLETE tag=qwen25_3b_mj_sw
2026-09-15T11:48:14+00:00	CACHE_CLEANUP model=Qwen/Qwen2.5-3B-Instruct
2026-09-15T11:48:14+00:00	DOWNLOAD_START model=Qwen/Qwen2.5-14B-Instruct attempt=1
2026-09-15T11:48:23+00:00	DOWNLOAD_COMPLETE model=meta-llama/Llama-3.1-8B-Instruct attempt=1
2026-09-15T11:48:23+00:00	RUN_START tag=llama31_8b_it_mj_sw model=meta-llama/Llama-3.1-8B-Instruct GPUs=2,3 tp=1 tlang=Swahili
2026-09-15T11:49:15+00:00	RUN_COMPLETE tag=llama31_8b_it_mj_sw
2026-09-15T11:49:18+00:00	CACHE_CLEANUP model=meta-llama/Llama-3.1-8B-Instruct
2026-09-15T11:49:18+00:00	DOWNLOAD_START model=microsoft/Phi-3-medium-4k-instruct attempt=1
2026-09-15T11:55:13+00:00	DOWNLOAD_COMPLETE model=Qwen/Qwen2.5-14B-Instruct attempt=1
2026-09-15T11:55:13+00:00	RUN_START tag=qwen25_14b_mj_sw model=Qwen/Qwen2.5-14B-Instruct GPUs=0,1 tp=1 tlang=Swahili
2026-09-15T11:55:41+00:00	DOWNLOAD_COMPLETE model=microsoft/Phi-3-medium-4k-instruct attempt=1
2026-09-15T11:55:41+00:00	RUN_START tag=phi3_medium_14b_mj_sw model=microsoft/Phi-3-medium-4k-instruct GPUs=2,3 tp=1 tlang=Swahili
2026-09-15T11:56:14+00:00	RUN_COMPLETE tag=qwen25_14b_mj_sw
2026-09-15T11:56:18+00:00	CACHE_CLEANUP model=Qwen/Qwen2.5-14B-Instruct
2026-09-15T11:56:18+00:00	DOWNLOAD_START model=meta-llama/Llama-3.2-3B-Instruct attempt=1
2026-09-15T11:56:39+00:00	RUN_COMPLETE tag=phi3_medium_14b_mj_sw
2026-09-15T11:56:43+00:00	CACHE_CLEANUP model=microsoft/Phi-3-medium-4k-instruct
2026-09-15T11:56:43+00:00	DOWNLOAD_START model=mistralai/Mistral-7B-Instruct-v0.3 attempt=1
2026-09-15T11:58:03+00:00	DOWNLOAD_COMPLETE model=meta-llama/Llama-3.2-3B-Instruct attempt=1
2026-09-15T11:58:03+00:00	RUN_START tag=llama32_3b_it_mj_sw model=meta-llama/Llama-3.2-3B-Instruct GPUs=0,1 tp=1 tlang=Swahili
2026-09-15T11:58:49+00:00	RUN_COMPLETE tag=llama32_3b_it_mj_sw
2026-09-15T11:58:50+00:00	CACHE_CLEANUP model=meta-llama/Llama-3.2-3B-Instruct
2026-09-15T11:58:50+00:00	DOWNLOAD_START model=google/gemma-2-2b-it attempt=1
